player_name,season,games_missed,teams,injury_notes,player_id
Kris Dunn,2017-18,4,Bulls,dislocated left index finger (out indefinitely) | patellar tendinitis in left knee (DTD) | concussion (out indefinitely),1627739
Kris Dunn,2018-19,2,Bulls,sprained MCL in left knee (out indefinitely) | strained back (out for season),1627739
Kris Humphries,2014-15,2,Wizards,sore lower back (DTD) | strained left groin (DTD),2743
Kris Humphries,2015-16,2,Wizards,sprained left ankle (DTD),2743
Kris Humphries,2016-17,1,Hawks,neck spasms (DTD),2743
Kristaps Porzingis,2015-16,4,Knicks,upper respiratory illness (DTD) | bruised lower left leg (DTD) | stomach illness/virus (DTD),204001
Kristaps Porzingis,2016-17,5,Knicks,sore left groin (DTD) | sore left Achilles (DTD) | illness (DTD),204001
Kristaps Porzingis,2017-18,5,Knicks,tightness in lower back (DTD) | sore ankle (DTD) | irritation in left knee (DTD),204001
Kristaps Porzingis,2018-19,1,Knicks,recovering from surgery on left knee to repair torn ACL (out for season),204001
Kyle Anderson,2015-16,1,Spurs,illness (DTD),203937
Kyle Anderson,2018-19,2,Grizzlies,sprained left ankle (DTD) | sore right shoulder (out for season),203937
Kyle Korver,2014-15,4,Hawks,fractured nose (DTD) | sprained right ankle (out for season) | surgery on right ankle to repair ligament damage (out indefinitely),2594
Kyle Korver,2016-17,3,"Cavaliers, Hawks",illness (DTD) | sore left foot (DTD),2594
Kyle Korver,2017-18,1,Cavaliers,sore right foot (DTD),2594
Kyle Korver,2018-19,1,Cavaliers,sore right foot (DTD),2594
Kyle Kuzma,2017-18,1,Lakers,sprained right ankle (DTD),1628398
Kyle Kuzma,2018-19,4,Lakers,bruised lower back (DTD) | strained left hip (DTD) | sprained right ankle (DTD),1628398
Kyle Lowry,2014-15,1,Raptors,various injuries (DTD),200768
Kyle Lowry,2015-16,1,Raptors,sore right elbow (DTD),200768
Kyle Lowry,2016-17,2,Raptors,surgery on right wrist to remove loose bodies (out indefinitely) (date approximate) | sprained left ankle (DTD),200768
Kyle Lowry,2018-19,2,Raptors,sore back (DTD) | left thigh injury (DTD),200768
Kyle O'Quinn,2017-18,1,Knicks,strained left hip (DTD),203124
Kyle O'Quinn,2018-19,1,Pacers,illness (DTD),203124
Kyle Singler,2015-16,1,Thunder,sore lower back (DTD),202713
Kyrie Irving,2013-14,2,Cavaliers,bruised left knee (DTD) | strained left bicep (out indefinitely),202681
Kyrie Irving,2014-15,5,Cavaliers,tightness in lower back (DTD) | strained left shoulder (DTD) | left knee tendinitis (DTD),202681
Kyrie Irving,2016-17,2,Cavaliers,tightness in right hamstring (DTD) | bruised right quadriceps (DTD),202681
